no	sample	title	medium	time	strain	product	damageSite	replicate
1	WT_G_1m_CPD_0	WT_G_1m_CPD_r0	Glucose	1m	WT	CPD	TT	0
2	WT_I_1m_CPD_0	WT_I_1m_CPD_r0	IPTG	1m	WT	CPD	TT	0
3	WT_G_5m_CPD_0	WT_G_5m_CPD_r0	Glucose	5m	WT	CPD	TT	0
4	WT_I_5m_CPD_0	WT_I_5m_CPD_r0	IPTG	5m	WT	CPD	TT	0
5	WT_G_20m_CPD_0	WT_G_20m_CPD_r0	Glucose	20m	WT	CPD	TT	0
6	WT_I_20m_CPD_0	WT_I_20m_CPD_r0	IPTG	20m	WT	CPD	TT	0
7	WT_G_60m_CPD_0	WT_G_60m_CPD_r0	Glucose	60m	WT	CPD	TT	0
8	WT_I_60m_CPD_0	WT_I_60m_CPD_r0	IPTG	60m	WT	CPD	TT	0
9	WT_I_5m_CPD_1	WT_I_5m_CPD_r1	IPTG	5m	WT	CPD	TT	1
10	lexA3_I_5m_CPD_1	lexA3_I_5m_CPD_r1	IPTG	5m	lexA3	CPD	TT	1
11	mfd_I_5m_CPD_1	mfd_I_5m_CPD_r1	IPTG	5m	mfd	CPD	TT	1
12	DKO_I_5m_CPD_1	DKO_I_5m_CPD_r1	IPTG	5m	lexA3_mfd	CPD	TT	1
13	WT_I_10m_CPD_1	WT_I_10m_CPD_r1	IPTG	10m	WT	CPD	TT	1
14	lexA3_I_10m_CPD_1	lexA3_I_10m_CPD_r1	IPTG	10m	lexA3	CPD	TT	1
15	mfd_I_10m_CPD_1	mfd_I_10m_CPD_r1	IPTG	10m	mfd	CPD	TT	1
16	DKO_I_10m_CPD_1	DKO_I_10m_CPD_r1	IPTG	10m	lexA3_mfd	CPD	TT	1
17	WT_G_1m_64_1	WT_G_1m_64_r1	Glucose	1m	WT	64PP	TC	1
18	WT_G_1m_64_1TT	WT_G_1m_64_r1_TT	Glucose	1m	WT	64PP	TT	1
19	WT_I_1m_64_1	WT_I_1m_64_r1	IPTG	1m	WT	64PP	TC	1
20	WT_I_1m_64_1TT	WT_I_1m_64_r1_TT	IPTG	1m	WT	64PP	TT	1
21	lexA3_G_1m_64_1	lexA3_G_1m_64_r1	Glucose	1m	lexA3	64PP	TC	1
22	lexA3_G_1m_64_1TT	lexA3_G_1m_64_r1_TT	Glucose	1m	lexA3	64PP	TT	1
23	lexA3_I_1m_64_1	lexA3_I_1m_64_r1	IPTG	1m	lexA3	64PP	TC	1
24	lexA3_I_1m_64_1TT	lexA3_I_1m_64_r1_TT	IPTG	1m	lexA3	64PP	TT	1
25	WT_G_5m_64_1	WT_G_5m_64_r1	Glucose	5m	WT	64PP	TC	1
26	WT_G_5m_64_1TT	WT_G_5m_64_r1_TT	Glucose	5m	WT	64PP	TT	1
27	WT_I_5m_64_1	WT_I_5m_64_r1	IPTG	5m	WT	64PP	TC	1
28	WT_I_5m_64_1TT	WT_I_5m_64_r1_TT	IPTG	5m	WT	64PP	TT	1
29	lexA3_G_5m_64_1	lexA3_G_5m_64_r1	Glucose	5m	lexA3	64PP	TC	1
30	lexA3_G_5m_64_1TT	lexA3_G_5m_64_r1_TT	Glucose	5m	lexA3	64PP	TT	1
31	lexA3_I_5m_64_1	lexA3_I_5m_64_r1	IPTG	5m	lexA3	64PP	TC	1
32	lexA3_I_5m_64_1TT	lexA3_I_5m_64_r1_TT	IPTG	5m	lexA3	64PP	TT	1
33	3x3WT1m	WT_I_1m_CPD_r1	IPTG	1m	WT	CPD	TT	1
34	3x3WT10m	WT_I_10m_CPD_r2	IPTG	10m	WT	CPD	TT	2
35	3x3WT20m	WT_I_20m_CPD_r1	IPTG	20m	WT	CPD	TT	1
36	3x3WT60m	WT_I_60m_CPD_r1	IPTG	60m	WT	CPD	TT	1
37	3x3m5m	mfd_I_5m_CPD_r2	IPTG	5m	mfd	CPD	TT	2
38	3x3m10m	mfd_I_10m_CPD_r2	IPTG	10m	mfd	CPD	TT	2
39	3x3m60m8	mfd_I_60m_CPD_r1	IPTG	60m	mfd	CPD	TT	1
40	3x3m60m9	mfd_I_60m_CPD_r2	IPTG	60m	mfd	CPD	TT	2
41	3x24WT60m	WT_I_60m_CPD_r2	IPTG	60m	WT	CPD	TT	2
42	3x24WT20m	WT_I_20m_CPD_r2	IPTG	20m	WT	CPD	TT	2
43	3x24m60m	mfd_I_60m_CPD_r3	IPTG	60m	mfd	CPD	TT	3
44	3x24WT-15s	WT_G_15s_64_r1	Glucose	15s	WT	64PP	TC	1
45	3x24WT-15sTT	WT_G_15s_64_r1_TT	Glucose	15s	WT	64PP	TT	1
46	3x24WTpls15s	WT_I_15s_64_r1	IPTG	15s	WT	64PP	TC	1
47	3x24WTpls15sTT	WT_I_15s_64_r1_TT	IPTG	15s	WT	64PP	TT	1
48	3x24WTsplt	WT_I_splt_CPD_r1	IPTG	split	WT	CPD	TT	1
49	3x24A3splt	lexA_I_splt_CPD_r1	IPTG	split	lexA3	CPD	TT	1
50	3x24W20m64	WT_I_20m_64_r1	IPTG	20m	WT	64PP	TC	1
51	3x24W20m64TT	WT_I_20m_64_r1_TT	IPTG	20m	WT	64PP	TT	1
52	5x8DI15s	uvrD_I_15s_64_r1	IPTG	15s	uvrD	64PP	TC	1
53	5x8DI15sTT	uvrD_I_15s_64_r1_TT	IPTG	15s	uvrD	64PP	TT	1
54	5x8DG15s	uvrD_G_15s_64_r1	Glucose	15s	uvrD	64PP	TC	1
55	5x8DG15sTT	uvrD_G_15s_64_r1_TT	Glucose	15s	uvrD	64PP	TT	1
56	5x8DI1m	uvrD_I_1m_64_r1	IPTG	1m	uvrD	64PP	TC	1
57	5x8DI1mTT	uvrD_I_1m_64_r1_TT	IPTG	1m	uvrD	64PP	TT	1
58	5x8DG1m	uvrD_G_1m_64_r1	Glucose	1m	uvrD	64PP	TC	1
59	5x8DG1mTT	uvrD_G_1m_64_r1_TT	Glucose	1m	uvrD	64PP	TT	1
60	5x8WI15s	WT_I_15s_64_r2	IPTG	15s	WT	64PP	TC	2
61	5x8WI15sTT	WT_I_15s_64_r2_TT	IPTG	15s	WT	64PP	TT	2
62	5x8WG15s	WT_G_15s_64_r2	Glucose	15s	WT	64PP	TC	2
63	5x8WG15sTT	WT_G_15s_64_r2_TT	Glucose	15s	WT	64PP	TT	2
64	5x8WI5m	WT_I_5m_64_r2	IPTG	5m	WT	64PP	TC	2
65	5x8WI5mTT	WT_I_5m_64_r2_TT	IPTG	5m	WT	64PP	TT	2
66	5x8WG5m	WT_G_5m_64_r2	Glucose	5m	WT	64PP	TC	2
67	5x8WG5mTT	WT_G_5m_64_r2_TT	Glucose	5m	WT	64PP	TT	2
68	5x8WI1m	WT_I_1m_64_r2	IPTG	1m	WT	64PP	TC	2
69	5x8WI1mTT	WT_I_1m_64_r2_TT	IPTG	1m	WT	64PP	TT	2
70	5x8WI20m	WT_I_20m_64_r2	IPTG	20m	WT	64PP	TC	2
71	5x8WI20mTT	WT_I_20m_64_r2_TT	IPTG	20m	WT	64PP	TT	2
72	5x8WI60F1	WT_I_60m_64_r2	IPTG	60m	WT	64PP	TC	2
73	5x8WI60F1TT	WT_I_60m_64_r2_TT	IPTG	60m	WT	64PP	TT	2
74	5x8WI20	WT_I_20m_64_r3	IPTG	20m	WT	64PP	TC	3
75	5x8WI20TT	WT_I_20m_64_r3_TT	IPTG	20m	WT	64PP	TT	3
76	5x8WI60E4	WT_I_60m_64_r3	IPTG	60m	WT	64PP	TC	3
77	5x8WI60E4TT	WT_I_60m_64_r3_TT	IPTG	60m	WT	64PP	TT	3
78	5x8WG1	WT_G_1m_64_r2	Glucose	1m	WT	64PP	TC	2
79	5x8WG1TT	WT_G_1m_64_r2_TT	Glucose	1m	WT	64PP	TT	2
80	5x8WG20	WT_G_20m_64_r1	Glucose	20m	WT	64PP	TC	1
81	5x8WG20TT	WT_G_20m_64_r1_TT	Glucose	20m	WT	64PP	TT	1
82	5x8WI608	WT_I_60m_64_r1	IPTG	60m	WT	64PP	TC	1
83	5x8WI608TT	WT_I_60m_64_r1_TT	IPTG	60m	WT	64PP	TT	1
84	5x8MI90G	mfd_I_90m_CPD_r1	IPTG	90m	mfd	CPD	TT	1
85	5x8MI90H	mfd_I_90m_CPD_r2	IPTG	90m	mfd	CPD	TT	2
86	5x8MI120I	mfd_I_120m_CPD_r1	IPTG	120m	mfd	CPD	TT	1
87	5x8MI120J	mfd_I_120m_CPD_r2	IPTG	120m	mfd	CPD	TT	2
